seed,spawnBiome,spawnX,spawnZ,spawnMag,distance,percentage,biome,X,Z,temperature,humidity,continentalness,erosion,depth,weirdness,originTemperature,originHumidity,originContinentalness,originErosion,originDepth,originWeirdness,villageTemperature,villageHumidity,villageContinentalness,villageErosion,villageDepth,villageWeirdness,debug
-3419676224315804647,forest,0,32,32.0,35.4682957019364,0.0,savanna,-528,240,0.24144864702719432,-0.08071830732869427,-0.04007736767089577,0.028042475688953232,0.5078125,-0.24080523106541218,0.2359704588524081,-0.08061634814631519,-0.0731618564458044,0.011461109444661853,1.0,-0.12381145401252691,0.4604383958493574,-0.38186827757902575,-0.1470141902587906,0.10979740226267981,-0.5625,-0.439664835007103,Near inland
8924276910743291642,forest,-42,-25,48.877397639399746,83.43260753446461,0.0,plains,-368,1264,-0.020730586160508744,0.06584216772091324,0.11084142020922684,-0.1211794522344532,0.5078125,0.15778122822701285,-0.029828876741343092,0.07535308781036697,0.003183520566634734,-0.08706899101643872,1.0,-0.022636036395770574,-0.134252832647052,-0.22109471452604615,0.12586670062735927,-0.01547127256975084,-0.5625,0.4217763157885749,Mid inland
-1447482968316728084,lush_caves,96,30,100.57832768544127,56.22277118748239,0.0,plains,-464,-688,-0.06497509833624152,0.2946976873575279,-0.10348003609773934,-0.29672610980631386,0.5078125,-0.35937324514208313,-0.09696893848650798,0.29493379143017195,-0.3003543122104855,-0.320485444912957,1.0,-0.05078957841038312,-0.2627389185717848,-0.5193207993948338,-0.07161395701950456,-0.4523163750890536,-0.5625,-0.35572282110694675,Near inland
-8000086993318661156,wooded_badlands,-35,160,163.783393541592,15.524174696260024,0.0,savanna,-288,224,0.5544116632233588,0.1293897427179774,0.001432191531780362,-0.39966860739336024,0.5078125,0.21679154013761004,0.5310409054271861,0.18955705373396745,-0.4212080717375496,-0.33178727130593955,1.0,0.05004213240436686,0.5331567374722959,-0.30912080778249096,0.16050895890057074,-0.5308637196185876,-0.5625,0.33732628742053417,Near inland
-1340039461743975359,lush_caves,-136,-285,315.7863201596928,30.805843601498726,0.0,plains,144,-688,0.08562417065697416,0.27163576962901165,-0.11465818161282558,0.015702608742267237,0.5078125,0.203438868470801,-0.0631267349321048,0.4133843335572157,-0.6588653546966302,0.014830321943329753,1.0,0.23604471930235738,0.18720155625869817,-0.16042025892468137,-0.009825253662923228,0.23328651949945492,-0.5625,-0.29128033411992427,Coast
-8810731275820399664,forest,0,0,0.0,46.61544808322666,0.0,plains,-432,608,-0.40787904368863065,-0.03922271917768036,0.17048559982796746,-0.11003102689890866,0.5078125,0.6145868294646977,-0.40787904368863065,-0.03922271917768036,0.17048559982796746,-0.11003102689890866,1.0,0.6145868294646977,-0.3126326648097675,-0.25749710500333245,-0.09124541649482369,0.5363235054601729,-0.5625,0.20729030811005048,Mid inland
7547131758236892934,birch_forest,-22,-69,72.42237223399962,51.894122981316485,0.0,plains,-784,272,0.1186281992952868,0.16884856430766695,-0.08115064866735885,0.0022911882628412175,0.5078125,-0.5513099955482202,0.12268415252302398,0.0592655362600446,-0.2168360808427829,0.052699530108629246,1.0,-0.162923806762882,0.17265621966615763,-0.2393669956087987,-0.09569984684923588,0.07121082660667931,-0.5625,0.34164500416782784,Near inland
-2430810618692127632,birch_forest,-85,309,320.4777683397087,60.63827174318213,0.0,plains,128,1248,-0.021334312476222316,0.16902704444365924,-0.11082158597379446,0.003106121717776114,0.5078125,-0.44736750821253585,0.057445114039500964,-0.2661345085306042,-0.4340584317766652,0.08156480452011859,1.0,0.28734452598262344,-0.3139643756570682,-0.12751407235487786,1.4716460979549356E-4,-0.11800981562362055,-0.5625,0.10625505111886122,Coast
-5024137372811981377,forest,72,-282,291.0463880552377,54.20332093147061,0.0,plains,-464,400,0.19167620506303212,-0.08736377487196245,-0.09177824851803607,0.5455534684240027,0.5078125,-0.3394440944085078,0.14232269544105255,-0.17423179935997823,-0.30669461533629755,0.6158104050263807,1.0,-0.22698344306796098,0.08141629904760687,-0.1471534330208812,0.058428970834016485,0.22244175090067334,-0.5625,-0.10745448746628483,Near inland
-2799057139607380410,plains,25,-31,39.824615503479755,51.54609587543949,0.0,savanna,-768,224,0.3775373127466763,-0.0642957580433072,-0.0780025337909432,-0.009572884713964842,0.5078125,0.30543310042204,0.38429267301712006,-0.1039867445094809,-0.23907171147149928,-0.04304765814276801,1.0,0.3721703693385039,0.5355728479150812,-0.2412728426570705,0.015802195980334457,-0.06140883041473846,-0.5625,-0.12446323709031262,Near inland
7648401684447622373,plains,91,-16,92.39588735436226,30.463092423455635,0.0,plains,-368,176,-0.4103810480373357,-0.10588821094540264,0.14126738463783395,0.05306287435998662,0.5078125,-0.23527884333912255,-0.3738780167323655,-0.2676820156716269,0.07197420155527828,0.09112428630187662,1.0,-0.093351786663743,-0.11916629138995884,-0.3320894943237817,0.27886064483224754,-0.08364320357559525,-0.5625,-0.11417987438462657,Mid inland
-7453792635561550088,plains,72,-26,76.55063683601855,7.280109889280518,0.0,meadow,96,-144,-0.3989628481338178,-0.28375659283562027,0.08381837288443018,-0.28384094520892394,0.5078125,-0.16301692307525067,-0.3928477099488846,-0.2592124570021195,0.16694109842541988,-0.2282911970399023,1.0,0.05967982034800004,-0.4358569873034965,-0.22946531770002698,0.2752380584045199,-0.3035695459647911,-0.5625,-0.4698955641088812,Mid inland
-2175265787445518662,birch_forest,-3,-108,108.04165863221463,48.02082881417188,0.0,plains,640,-512,0.02058917238960574,0.1782568191519206,-0.05970120411620169,-0.378422917892614,0.5078125,-0.27027285737099704,0.024882657279476326,0.30569463136766284,-0.1187594252889423,-0.37899270713178806,1.0,-0.035463110425199895,0.43270831704882023,0.027420807001340208,0.08926326608374795,-0.22880789311821792,-0.5625,0.172831042557053,Near inland
-6123102905569357765,dripstone_caves,0,0,0.0,31.144823004794873,0.0,savanna,-496,48,0.28313549004680805,0.19493776300718124,0.49643951026789784,-0.2722946952785887,0.5078125,-0.26810653482424596,0.28313549004680805,0.19493776300718124,0.49643951026789784,-0.2722946952785887,1.0,-0.26810653482424596,0.2802139153529249,-0.24882268400369792,0.21294588084058155,-0.0408687728246769,-0.5625,0.4436446474683752,Far inland
