distance,spawn_category
68.81860213634101,Coast
67.88225099390856,Near inland
40.0,Near inland
33.94112549695428,Near inland
40.0,Near inland
45.254833995939045,Coast
33.94112549695428,Near inland
40.0,Near inland
22.627416997969522,Near inland
25.298221281347036,Near inland
25.298221281347036,Near inland
33.94112549695428,Near inland
40.0,Near inland
25.298221281347036,Coast
51.22499389946279,Near inland
50.59644256269407,Coast
35.77708763999664,Near inland
102.44998779892558,Mid inland
56.568542494923804,Near inland
45.254833995939045,Near inland
45.254833995939045,Near inland
25.298221281347036,Near inland
64.4980619863884,Near inland
181.37254478007415,Mid inland
45.254833995939045,Near inland
46.647615158762406,Near inland
17.88854381999832,Coast
33.94112549695428,Near inland
33.94112549695428,Coast
80.39900496896712,Mid inland
16.0,Coast
79.19595949289332,Near inland
62.48199740725323,Near inland
73.7563556583431,Near inland
62.48199740725323,Near inland
135.7645019878171,Near inland
181.01933598375618,Coast
97.32420048477151,Near inland
120.0,Near inland
144.22205101855957,Near inland
113.13708498984761,Near inland
181.01933598375618,Near inland
124.45079348883236,Coast
147.07821048680188,Near inland
43.08131845707603,Near inland
198.07069445023916,Mid inland
182.42806801586207,Mid inland
181.01933598375618,Mid inland
88.36288813749809,Near inland
220.68982758613956,Near inland
168.7601848778319,Mid inland
203.64675298172568,Near inland
45.254833995939045,Near inland
215.40659228538016,Mid inland
32.984845004941285,Near inland
40.792156108742276,Near inland
22.627416997969522,Near inland
56.568542494923804,Near inland
33.94112549695428,Coast
62.48199740725323,Near inland
248.90158697766472,Near inland
51.22499389946279,Near inland
91.21403400793103,Mid inland
184.0,Mid inland
193.49418595916518,Mid inland
73.7563556583431,Coast
79.19595949289332,Near inland
35.77708763999664,Near inland
220.10906387516167,Near inland
40.0,Near inland
254.62128740543278,Mid inland
96.33275663033837,Near inland
177.62882648939615,Mid inland
260.2152954766495,Mid inland
192.66551326067673,Near inland
79.19595949289332,Near inland
90.50966799187809,Mid inland
241.8594633252956,Mid inland
203.64675298172568,Near inland
28.844410203711913,Near inland
225.28204544525957,Mid inland
81.58431221748455,Mid inland
144.22205101855957,Near inland
282.842712474619,Far inland
22.627416997969522,Near inland
175.45369759569047,Mid inland
316.9858040985432,Near inland
294.15642097360376,Mid inland
113.13708498984761,Near inland
56.568542494923804,Near inland
56.568542494923804,Near inland
294.37391188758556,Mid inland
225.84950741588966,Mid inland
297.6172038038124,Mid inland
24.0,Near inland
244.75293665245368,Mid inland
294.15642097360376,Far inland
22.627416997969522,Coast
196.7739820199815,Far inland
322.49030993194197,Mid inland
244.75293665245368,Far inland
305.47012947258855,Near inland
293.7209560109731,Far inland
272.0,Mid inland
328.2925524589311,Near inland
176.72577627499618,Mid inland
22.627416997969522,Near inland
288.5550207499429,Near inland
280.0,Mid inland
257.9922479455536,Far inland
126.49110640673517,Near inland
68.81860213634101,Near inland
45.254833995939045,Coast
297.7247050548543,Mid inland
447.21359549995793,Far inland
413.91786624884895,Mid inland
289.882734911895,Mid inland
71.55417527999327,Near inland
33.94112549695428,Coast
79.19595949289332,Near inland
195.30488985173923,Near inland
339.4112549695428,Mid inland
277.35897317375543,Mid inland
157.78466338652817,Mid inland
321.79496577790025,Mid inland
45.254833995939045,Near inland
46.647615158762406,Near inland
220.68982758613956,Far inland
322.49030993194197,Far inland
64.4980619863884,Near inland
67.88225099390856,Near inland
429.9209229614209,Mid inland
28.844410203711913,Near inland
57.688820407423826,Near inland
104.30723848324239,Mid inland
40.792156108742276,Near inland
43.08131845707603,Near inland
40.0,Near inland
347.3326935374786,Mid inland
40.0,Near inland
56.568542494923804,Near inland
45.254833995939045,Coast
271.7646040234085,Mid inland
57.688820407423826,Coast
56.568542494923804,Near inland
68.81860213634101,Near inland
362.03867196751236,Far inland
45.254833995939045,Near inland
56.568542494923804,Near inland
62.48199740725323,Near inland
32.984845004941285,Near inland
51.22499389946279,Near inland
33.94112549695428,Near inland
51.22499389946279,Near inland
135.7645019878171,Mid inland
334.18557718728675,Mid inland
181.37254478007415,Mid inland
252.98221281347034,Near inland
435.9082472264089,Mid inland
51.22499389946279,Near inland
560.0571399419885,Far inland
43.08131845707603,Coast
57.688820407423826,Near inland
115.37764081484765,Near inland
43.08131845707603,Near inland
56.568542494923804,Near inland
48.0,Near inland
64.4980619863884,Coast
40.792156108742276,Near inland
56.568542494923804,Near inland
368.7817782917155,Mid inland
293.393933134276,Mid inland
232.0,Near inland
211.20606051910536,Mid inland
32.984845004941285,Coast
62.48199740725323,Near inland
33.94112549695428,Near inland
186.76188047886004,Mid inland
295.0254226333724,Mid inland
565.685424949238,Far inland
22.627416997969522,Coast
293.50298124550625,Near inland
169.7056274847714,Mid inland
452.54833995939043,Far inland
508.2361655765949,Far inland
430.0697617828996,Far inland
305.47012947258855,Far inland
554.4871504372306,Near inland
213.46662502602135,Mid inland
11.313708498984761,Coast
32.0,Near inland
48.662100242385755,Near inland
48.662100242385755,Near inland
58.240879114244144,Near inland
203.64675298172568,Near inland
368.3476618630828,Far inland
344.37189200049414,Mid inland
237.8570999570961,Mid inland
48.662100242385755,Near inland
113.13708498984761,Coast
45.254833995939045,Near inland
243.3105012119288,Mid inland
184.1738309315414,Near inland
364.9438312946254,Mid inland
40.0,Coast
335.8094697890457,Mid inland
164.14627622946554,Mid inland
599.6265504461923,Near inland
254.62128740543278,Near inland
28.844410203711913,Coast
45.254833995939045,Near inland
102.44998779892558,Mid inland
271.5290039756342,Near inland
91.21403400793103,Near inland
130.23056476879765,Near inland
381.65953414005,Far inland
147.5127113166862,Mid inland
224.1428116179504,Coast
240.66574330386118,Far inland
32.984845004941285,Coast
283.0688962072661,Mid inland
40.0,Near inland
554.7179463475109,Near inland
322.49030993194197,Far inland
56.568542494923804,Near inland
67.88225099390856,Near inland
50.59644256269407,Coast
490.35497346310257,Far inland
480.59962546801887,Far inland
193.32873557751316,Near inland
43.08131845707603,Coast
181.01933598375618,Near inland
96.66436778875658,Near inland
497.80317395532944,Mid inland
261.19724347703215,Mid inland
88.36288813749809,Near inland
56.568542494923804,Near inland
152.8397853963424,Mid inland
257.6198750096739,Near inland
588.4216175498653,Far inland
113.70136322841516,Near inland
458.5193561890272,Near inland
90.50966799187809,Near inland
271.5290039756342,Mid inland
107.62899237658968,Coast
80.39900496896712,Near inland
724.0773439350247,Far inland
186.76188047886004,Mid inland
67.88225099390856,Near inland
35.77708763999664,Near inland
329.84845004941286,Mid inland
93.29523031752481,Near inland
56.568542494923804,Near inland
57.688820407423826,Near inland
288.5550207499429,Mid inland
64.4980619863884,Mid inland
294.15642097360376,Near inland
644.8813844421313,Far inland
292.9573347776089,Far inland
104.0,Mid inland
566.646274142873,Far inland
28.844410203711913,Near inland
278.62519627628797,Mid inland
475.31042488041436,Far inland
707.1294082415184,Mid inland
503.491807281906,Far inland
492.4388286883966,Mid inland
373.3523804664971,Far inland
523.6792911697005,Far inland
357.23381698825773,Far inland
526.3610927870714,Mid inland
306.2025473440742,Near inland
393.9543120718442,Mid inland
395.9797974644666,Mid inland
226.27416997969522,Far inland
537.4309257941899,Far inland
571.3702827414111,Far inland
395.8181400592954,Mid inland
413.91786624884895,Mid inland
523.6792911697005,Far inland
64.4980619863884,Near inland
466.06437323614426,Far inland
24.0,Near inland
503.491807281906,Far inland
363.6261816756324,Mid inland
390.60977970347847,Near inland
531.7442994522837,Far inland
318.59692402783804,Far inland
85.0411665018772,Near inland
243.3105012119288,Mid inland
130.23056476879765,Mid inland
397.9145636942684,Mid inland
40.0,Near inland
35.77708763999664,Near inland
541.4055781020362,Far inland
752.3828812512949,Far inland
79.19595949289332,Near inland
157.78466338652817,Mid inland
780.97375115941,Far inland
408.70527278223364,Mid inland
45.254833995939045,Near inland
64.4980619863884,Near inland
35.77708763999664,Near inland
45.254833995939045,Coast
32.984845004941285,Near inland
152.8397853963424,Near inland
40.0,Near inland
803.273303427918,Far inland
197.5854245636555,Far inland
101.82337649086284,Mid inland
529.5129837879332,Far inland
164.92422502470643,Near inland
854.6531460188982,Far inland
859.9162749942578,Far inland
114.54256850621083,Near inland
181.01933598375618,Mid inland
67.88225099390856,Near inland
33.94112549695428,Near inland
582.6834475081646,Mid inland
730.8077722629939,Mid inland
599.6265504461923,Near inland
182.42806801586207,Far inland
22.627416997969522,Coast
771.409100283371,Far inland
40.792156108742276,Near inland
334.18557718728675,Far inland
102.44998779892558,Near inland
481.6637831516918,Far inland
656.1950929411161,Far inland
380.0631526470305,Mid inland
33.94112549695428,Coast
73.7563556583431,Near inland
88.0,Near inland
860.1395235657992,Far inland
554.3717164502533,Far inland
67.88225099390856,Near inland
717.9080721095146,Mid inland
33.94112549695428,Near inland
136.7040599250805,Mid inland
576.9991334482228,Mid inland
169.7056274847714,Mid inland
254.11808278829744,Mid inland
707.6722405181653,Mid inland
400.0,Near inland
152.8397853963424,Mid inland
67.88225099390856,Near inland
230.89391503458899,Mid inland
83.5224520712844,Near inland
46.647615158762406,Near inland
339.599764428658,Far inland
45.254833995939045,Near inland
588.3128419472075,Mid inland
85.0411665018772,Near inland
306.6202863477888,Near inland
97.32420048477151,Near inland
265.9323222175146,Far inland
96.33275663033837,Near inland
113.13708498984761,Mid inland
339.5055227827671,Mid inland
871.1555544218265,Far inland
193.32873557751316,Mid inland
617.2454941107306,Far inland
28.844410203711913,Near inland
560.7423650840018,Far inland
101.82337649086284,Near inland
40.792156108742276,Near inland
62.48199740725323,Near inland
209.3800372528384,Mid inland
271.5290039756342,Mid inland
280.0,Mid inland
610.9402589451771,Far inland
242.91562321102361,Near inland
663.035443999791,Far inland
56.568542494923804,Near inland
226.27416997969522,Mid inland
85.0411665018772,Near inland
51.22499389946279,Near inland
401.67648674026213,Mid inland
56.568542494923804,Near inland
135.7645019878171,Coast
25.298221281347036,Coast
33.94112549695428,Near inland
56.568542494923804,Near inland
40.0,Near inland
360.0,Mid inland
51.22499389946279,Near inland
40.0,Near inland
135.7645019878171,Near inland
25.298221281347036,Near inland
237.58787847867995,Mid inland
25.298221281347036,Coast
186.07525359380813,Mid inland
28.844410203711913,Near inland
46.647615158762406,Coast
708.530874415505,Far inland
79.19595949289332,Near inland
246.9655846469301,Mid inland
265.9323222175146,Near inland
390.36393276018725,Mid inland
179.77764043395385,Mid inland
43.08131845707603,Near inland
384.66608896548183,Far inland
209.3800372528384,Mid inland
107.62899237658968,Coast
201.9108714259834,Mid inland
40.0,Near inland
45.254833995939045,Near inland
62.48199740725323,Near inland
35.77708763999664,Coast
526.1178575186362,Far inland
53.665631459994955,Near inland
152.8397853963424,Near inland
96.33275663033837,Near inland
33.94112549695428,Near inland
283.7463656154912,Far inland
45.254833995939045,Coast
475.1757569573599,Mid inland
322.0931542271583,Mid inland
336.8560523428368,Far inland
232.0,Far inland
506.027667227791,Near inland
367.04223190254277,Far inland
45.254833995939045,Near inland
25.298221281347036,Coast
32.984845004941285,Coast
272.47018185482244,Mid inland
40.0,Near inland
430.0697617828996,Near inland
177.08754896942924,Near inland
592.0540515865084,Far inland
947.5526370603377,Mid inland
45.254833995939045,Near inland
356.78564993564413,Mid inland
56.568542494923804,Near inland
668.3711543745735,Far inland
991.2577868546607,Far inland
79.19595949289332,Near inland
407.450610503899,Far inland
64.4980619863884,Near inland
17.88854381999832,Near inland
56.568542494923804,Near inland
209.3800372528384,Far inland
373.3523804664971,Mid inland
40.0,Coast
583.3420951722925,Near inland
316.7838379715733,Near inland
390.36393276018725,Far inland
48.0,Near inland
22.627416997969522,Near inland
24.0,Near inland
22.627416997969522,Near inland
90.50966799187809,Near inland
88.36288813749809,Near inland
104.30723848324239,Near inland
152.0,Near inland
756.3279711871035,Mid inland
50.59644256269407,Near inland
723.5468194940809,Mid inland
653.0666122226736,Mid inland
45.254833995939045,Near inland
85.0411665018772,Near inland
740.8967539407903,Far inland
528.7872918291437,Far inland
46.647615158762406,Near inland
73.7563556583431,Coast
520.0,Coast
33.94112549695428,Near inland
101.82337649086284,Mid inland
90.50966799187809,Near inland
677.7846265592043,Far inland
33.94112549695428,Near inland
16.0,Near inland
82.365041127896,Near inland
328.09754647055803,Far inland
362.7450895601483,Mid inland
